uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,8
AC,SRAG,HOSPITAL,"< 9",F,1
AL,OUTRAS,DOMICILIO,"< 9",F,15
AL,OUTRAS,DOMICILIO,"< 9",M,25
AL,OUTRAS,HOSPITAL,"< 9",F,282
AL,OUTRAS,HOSPITAL,"< 9",I,5
AL,OUTRAS,HOSPITAL,"< 9",M,290
AL,OUTRAS,OUTRO,"< 9",F,1
AL,OUTRAS,OUTRO,"< 9",M,1
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
AL,OUTRAS,VIA_PUBLICA,"< 9",F,1
AL,OUTRAS,VIA_PUBLICA,"< 9",M,1
AL,COVID,HOSPITAL,"< 9",F,15
AL,COVID,HOSPITAL,"< 9",M,10
AL,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,INDETERMINADA,DOMICILIO,"< 9",F,1
AL,INDETERMINADA,DOMICILIO,"< 9",M,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,2
AL,INDETERMINADA,HOSPITAL,"< 9",M,3
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,5
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,27
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,30
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AL,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
AL,PNEUMONIA,DOMICILIO,"< 9",F,1
AL,PNEUMONIA,DOMICILIO,"< 9",M,3
AL,PNEUMONIA,HOSPITAL,"< 9",F,15
AL,PNEUMONIA,HOSPITAL,"< 9",M,18
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,94
AL,SEPTICEMIA,HOSPITAL,"< 9",M,114
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AL,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
AL,SRAG,HOSPITAL,"< 9",F,1
AL,SRAG,HOSPITAL,"< 9",M,6
AM,OUTRAS,DOMICILIO,"< 9",F,43
AM,OUTRAS,DOMICILIO,"< 9",M,49
AM,OUTRAS,HOSPITAL,"< 9",F,331
AM,OUTRAS,HOSPITAL,"< 9",I,9
AM,OUTRAS,HOSPITAL,"< 9",M,450
AM,OUTRAS,IGNORADO,"< 9",F,3
AM,OUTRAS,IGNORADO,"< 9",M,4
AM,OUTRAS,OUTRO,"< 9",F,33
AM,OUTRAS,OUTRO,"< 9",M,54
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,OUTRAS,VIA_PUBLICA,"< 9",F,2
AM,OUTRAS,VIA_PUBLICA,"< 9",M,2
AM,COVID,DOMICILIO,"< 9",F,2
AM,COVID,HOSPITAL,"< 9",F,13
AM,COVID,HOSPITAL,"< 9",M,17
AM,COVID,OUTRO,"< 9",F,3
AM,COVID,OUTRO,"< 9",M,1
AM,INDETERMINADA,DOMICILIO,"< 9",M,4
AM,INDETERMINADA,OUTRO,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,4
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,4
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,25
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,40
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,7
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,7
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,PNEUMONIA,DOMICILIO,"< 9",F,2
AM,PNEUMONIA,DOMICILIO,"< 9",M,3
AM,PNEUMONIA,HOSPITAL,"< 9",F,45
AM,PNEUMONIA,HOSPITAL,"< 9",M,59
AM,PNEUMONIA,OUTRO,"< 9",F,12
AM,PNEUMONIA,OUTRO,"< 9",M,8
AM,SEPTICEMIA,DOMICILIO,"< 9",F,1
AM,SEPTICEMIA,DOMICILIO,"< 9",M,1
AM,SEPTICEMIA,HOSPITAL,"< 9",F,117
AM,SEPTICEMIA,HOSPITAL,"< 9",M,165
AM,SEPTICEMIA,OUTRO,"< 9",F,6
AM,SEPTICEMIA,OUTRO,"< 9",M,12
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
AM,SRAG,DOMICILIO,"< 9",F,1
AM,SRAG,DOMICILIO,"< 9",M,1
AM,SRAG,HOSPITAL,"< 9",F,3
AM,SRAG,HOSPITAL,"< 9",M,4
AM,SRAG,VIA_PUBLICA,"< 9",M,1
AP,OUTRAS,DOMICILIO,"< 9",F,2
AP,OUTRAS,DOMICILIO,"< 9",M,4
AP,OUTRAS,HOSPITAL,"< 9",F,51
AP,OUTRAS,HOSPITAL,"< 9",M,58
AP,OUTRAS,OUTRO,"< 9",M,4
AP,OUTRAS,POSTO_SAUDE,"< 9",M,1
AP,OUTRAS,VIA_PUBLICA,"< 9",M,1
AP,COVID,HOSPITAL,"< 9",F,1
AP,COVID,HOSPITAL,"< 9",M,3
AP,INDETERMINADA,DOMICILIO,"< 9",F,1
AP,INDETERMINADA,HOSPITAL,"< 9",F,1
AP,INDETERMINADA,HOSPITAL,"< 9",M,2
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
AP,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,PNEUMONIA,DOMICILIO,"< 9",F,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,16
AP,PNEUMONIA,HOSPITAL,"< 9",M,8
AP,SEPTICEMIA,HOSPITAL,"< 9",F,28
AP,SEPTICEMIA,HOSPITAL,"< 9",M,30
AP,SRAG,DOMICILIO,"< 9",F,1
AP,SRAG,HOSPITAL,"< 9",F,3
AP,SRAG,HOSPITAL,"< 9",M,1
BA,OUTRAS,DOMICILIO,"< 9",F,33
BA,OUTRAS,DOMICILIO,"< 9",M,63
BA,OUTRAS,HOSPITAL,"< 9",F,640
BA,OUTRAS,HOSPITAL,"< 9",I,36
BA,OUTRAS,HOSPITAL,"< 9",M,834
BA,OUTRAS,IGNORADO,"< 9",F,2
BA,OUTRAS,IGNORADO,"< 9",M,3
BA,OUTRAS,OUTRO,"< 9",F,1
BA,OUTRAS,OUTRO,"< 9",M,3
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,23
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",I,1
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,30
BA,OUTRAS,VIA_PUBLICA,"< 9",F,8
BA,OUTRAS,VIA_PUBLICA,"< 9",M,9
BA,COVID,DOMICILIO,"< 9",F,1
BA,COVID,HOSPITAL,"< 9",F,32
BA,COVID,HOSPITAL,"< 9",M,32
BA,COVID,OUTRO,"< 9",M,1
BA,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
BA,COVID,VIA_PUBLICA,"< 9",F,1
BA,INDETERMINADA,DOMICILIO,"< 9",F,2
BA,INDETERMINADA,HOSPITAL,"< 9",F,1
BA,INDETERMINADA,HOSPITAL,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,8
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,223
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,4
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,268
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,7
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",I,2
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,7
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,2
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
BA,PNEUMONIA,DOMICILIO,"< 9",F,3
BA,PNEUMONIA,HOSPITAL,"< 9",F,50
BA,PNEUMONIA,HOSPITAL,"< 9",M,54
BA,PNEUMONIA,OUTRO,"< 9",M,2
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
BA,PNEUMONIA,VIA_PUBLICA,"< 9",M,2
BA,SEPTICEMIA,DOMICILIO,"< 9",M,3
BA,SEPTICEMIA,HOSPITAL,"< 9",F,288
BA,SEPTICEMIA,HOSPITAL,"< 9",M,324
BA,SEPTICEMIA,OUTRO,"< 9",M,1
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,6
BA,SEPTICEMIA,VIA_PUBLICA,"< 9",F,2
BA,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
BA,SRAG,HOSPITAL,"< 9",F,19
BA,SRAG,HOSPITAL,"< 9",I,1
BA,SRAG,HOSPITAL,"< 9",M,12
BA,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
CE,OUTRAS,AMBULANCIA,"< 9",F,3
CE,OUTRAS,AMBULANCIA,"< 9",M,1
CE,OUTRAS,DOMICILIO,"< 9",F,24
CE,OUTRAS,DOMICILIO,"< 9",M,22
CE,OUTRAS,HOSPITAL,"< 9",F,498
CE,OUTRAS,HOSPITAL,"< 9",I,22
CE,OUTRAS,HOSPITAL,"< 9",M,573
CE,OUTRAS,IGNORADO,"< 9",F,40
CE,OUTRAS,IGNORADO,"< 9",I,1
CE,OUTRAS,IGNORADO,"< 9",M,54
CE,OUTRAS,OUTRO,"< 9",F,10
CE,OUTRAS,OUTRO,"< 9",M,12
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,8
CE,OUTRAS,VIA_PUBLICA,"< 9",F,1
CE,OUTRAS,VIA_PUBLICA,"< 9",M,8
CE,COVID,DOMICILIO,"< 9",F,1
CE,COVID,DOMICILIO,"< 9",M,2
CE,COVID,HOSPITAL,"< 9",F,33
CE,COVID,HOSPITAL,"< 9",I,1
CE,COVID,HOSPITAL,"< 9",M,35
CE,COVID,IGNORADO,"< 9",F,1
CE,COVID,IGNORADO,"< 9",M,3
CE,COVID,OUTRO,"< 9",I,1
CE,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,INDETERMINADA,DOMICILIO,"< 9",M,2
CE,INDETERMINADA,HOSPITAL,"< 9",F,7
CE,INDETERMINADA,HOSPITAL,"< 9",I,1
CE,INDETERMINADA,HOSPITAL,"< 9",M,5
CE,INDETERMINADA,IGNORADO,"< 9",M,1
CE,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,35
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,59
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,12
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,13
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,6
CE,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
CE,PNEUMONIA,AMBULANCIA,"< 9",M,1
CE,PNEUMONIA,DOMICILIO,"< 9",M,1
CE,PNEUMONIA,HOSPITAL,"< 9",F,41
CE,PNEUMONIA,HOSPITAL,"< 9",M,34
CE,PNEUMONIA,IGNORADO,"< 9",F,6
CE,PNEUMONIA,IGNORADO,"< 9",M,10
CE,PNEUMONIA,OUTRO,"< 9",F,1
CE,SEPTICEMIA,AMBULANCIA,"< 9",F,1
CE,SEPTICEMIA,AMBULANCIA,"< 9",M,2
CE,SEPTICEMIA,DOMICILIO,"< 9",M,2
CE,SEPTICEMIA,HOSPITAL,"< 9",F,125
CE,SEPTICEMIA,HOSPITAL,"< 9",M,167
CE,SEPTICEMIA,IGNORADO,"< 9",F,25
CE,SEPTICEMIA,IGNORADO,"< 9",M,26
CE,SEPTICEMIA,OUTRO,"< 9",F,1
CE,SEPTICEMIA,OUTRO,"< 9",M,1
CE,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
CE,SRAG,DOMICILIO,"< 9",M,1
CE,SRAG,HOSPITAL,"< 9",F,4
CE,SRAG,HOSPITAL,"< 9",M,3
DF,OUTRAS,DOMICILIO,"< 9",F,2
DF,OUTRAS,DOMICILIO,"< 9",M,3
DF,OUTRAS,HOSPITAL,"< 9",F,154
DF,OUTRAS,HOSPITAL,"< 9",I,1
DF,OUTRAS,HOSPITAL,"< 9",M,191
DF,OUTRAS,IGNORADO,"< 9",F,14
DF,OUTRAS,IGNORADO,"< 9",M,15
DF,OUTRAS,OUTRO,"< 9",F,2
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,7
DF,OUTRAS,VIA_PUBLICA,"< 9",F,1
DF,COVID,HOSPITAL,"< 9",F,3
DF,COVID,HOSPITAL,"< 9",M,3
DF,INDETERMINADA,HOSPITAL,"< 9",F,3
DF,INDETERMINADA,HOSPITAL,"< 9",M,4
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,35
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,46
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
DF,PNEUMONIA,HOSPITAL,"< 9",F,6
DF,PNEUMONIA,HOSPITAL,"< 9",M,15
DF,SEPTICEMIA,DOMICILIO,"< 9",F,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,69
DF,SEPTICEMIA,HOSPITAL,"< 9",M,101
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
DF,SRAG,HOSPITAL,"< 9",F,6
DF,SRAG,HOSPITAL,"< 9",M,5
ES,OUTRAS,DOMICILIO,"< 9",F,11
ES,OUTRAS,DOMICILIO,"< 9",M,10
ES,OUTRAS,HOSPITAL,"< 9",F,124
ES,OUTRAS,HOSPITAL,"< 9",I,1
ES,OUTRAS,HOSPITAL,"< 9",M,185
ES,OUTRAS,IGNORADO,"< 9",F,1
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
ES,OUTRAS,VIA_PUBLICA,"< 9",F,1
ES,OUTRAS,VIA_PUBLICA,"< 9",M,2
ES,COVID,HOSPITAL,"< 9",F,9
ES,COVID,HOSPITAL,"< 9",M,10
ES,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,13
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,14
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,PNEUMONIA,DOMICILIO,"< 9",F,1
ES,PNEUMONIA,DOMICILIO,"< 9",M,2
ES,PNEUMONIA,HOSPITAL,"< 9",F,25
ES,PNEUMONIA,HOSPITAL,"< 9",M,20
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,88
ES,SEPTICEMIA,HOSPITAL,"< 9",I,1
ES,SEPTICEMIA,HOSPITAL,"< 9",M,134
ES,SRAG,HOSPITAL,"< 9",F,3
ES,SRAG,HOSPITAL,"< 9",M,4
GO,OUTRAS,DOMICILIO,"< 9",F,13
GO,OUTRAS,DOMICILIO,"< 9",M,17
GO,OUTRAS,HOSPITAL,"< 9",F,192
GO,OUTRAS,HOSPITAL,"< 9",I,2
GO,OUTRAS,HOSPITAL,"< 9",M,214
GO,OUTRAS,IGNORADO,"< 9",F,6
GO,OUTRAS,IGNORADO,"< 9",M,6
GO,OUTRAS,OUTRO,"< 9",F,10
GO,OUTRAS,OUTRO,"< 9",M,7
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,14
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,23
GO,OUTRAS,VIA_PUBLICA,"< 9",F,2
GO,OUTRAS,VIA_PUBLICA,"< 9",M,1
GO,COVID,HOSPITAL,"< 9",F,9
GO,COVID,HOSPITAL,"< 9",M,10
GO,COVID,OUTRO,"< 9",M,1
GO,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,2
GO,INDETERMINADA,HOSPITAL,"< 9",F,1
GO,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,54
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,84
GO,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,3
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
GO,INSUFICIENCIA_RESPIRATORIA,SAMU,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
GO,PNEUMONIA,DOMICILIO,"< 9",F,1
GO,PNEUMONIA,DOMICILIO,"< 9",M,1
GO,PNEUMONIA,HOSPITAL,"< 9",F,20
GO,PNEUMONIA,HOSPITAL,"< 9",M,25
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,PNEUMONIA,IGNORADO,"< 9",M,1
GO,PNEUMONIA,OUTRO,"< 9",F,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
GO,SEPTICEMIA,DOMICILIO,"< 9",M,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,105
GO,SEPTICEMIA,HOSPITAL,"< 9",I,1
GO,SEPTICEMIA,HOSPITAL,"< 9",M,155
GO,SEPTICEMIA,OUTRO,"< 9",M,1
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
GO,SRAG,HOSPITAL,"< 9",M,1
GO,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,OUTRAS,AMBULANCIA,"< 9",M,2
MA,OUTRAS,DOMICILIO,"< 9",F,35
MA,OUTRAS,DOMICILIO,"< 9",M,29
MA,OUTRAS,HOSPITAL,"< 9",F,396
MA,OUTRAS,HOSPITAL,"< 9",I,10
MA,OUTRAS,HOSPITAL,"< 9",M,432
MA,OUTRAS,IGNORADO,"< 9",F,1
MA,OUTRAS,IGNORADO,"< 9",I,1
MA,OUTRAS,IGNORADO,"< 9",M,2
MA,OUTRAS,OUTRO,"< 9",F,15
MA,OUTRAS,OUTRO,"< 9",M,11
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MA,OUTRAS,POSTO_SAUDE,"< 9",F,1
MA,OUTRAS,VIA_PUBLICA,"< 9",F,3
MA,OUTRAS,VIA_PUBLICA,"< 9",M,6
MA,COVID,DOMICILIO,"< 9",M,1
MA,COVID,HOSPITAL,"< 9",F,10
MA,COVID,HOSPITAL,"< 9",M,10
MA,COVID,OUTRO,"< 9",M,1
MA,INDETERMINADA,DOMICILIO,"< 9",M,2
MA,INDETERMINADA,HOSPITAL,"< 9",F,5
MA,INDETERMINADA,HOSPITAL,"< 9",M,3
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,4
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,56
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,54
MA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,3
MA,PNEUMONIA,DOMICILIO,"< 9",F,2
MA,PNEUMONIA,DOMICILIO,"< 9",M,4
MA,PNEUMONIA,HOSPITAL,"< 9",F,30
MA,PNEUMONIA,HOSPITAL,"< 9",M,29
MA,PNEUMONIA,OUTRO,"< 9",M,1
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,SEPTICEMIA,AMBULANCIA,"< 9",M,1
MA,SEPTICEMIA,DOMICILIO,"< 9",F,2
MA,SEPTICEMIA,DOMICILIO,"< 9",M,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,98
MA,SEPTICEMIA,HOSPITAL,"< 9",M,92
MA,SEPTICEMIA,OUTRO,"< 9",F,1
MA,SEPTICEMIA,OUTRO,"< 9",M,2
MA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
MA,SRAG,HOSPITAL,"< 9",F,6
MA,SRAG,HOSPITAL,"< 9",M,6
MA,SRAG,OUTRO,"< 9",M,1
MG,OUTRAS,DOMICILIO,"< 9",F,38
MG,OUTRAS,DOMICILIO,"< 9",M,44
MG,OUTRAS,HOSPITAL,"< 9",F,778
MG,OUTRAS,HOSPITAL,"< 9",I,12
MG,OUTRAS,HOSPITAL,"< 9",M,931
MG,OUTRAS,IGNORADO,"< 9",F,9
MG,OUTRAS,IGNORADO,"< 9",M,17
MG,OUTRAS,OUTRO,"< 9",F,6
MG,OUTRAS,OUTRO,"< 9",M,16
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,19
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,38
MG,OUTRAS,VIA_PUBLICA,"< 9",F,2
MG,OUTRAS,VIA_PUBLICA,"< 9",M,7
MG,COVID,HOSPITAL,"< 9",F,28
MG,COVID,HOSPITAL,"< 9",M,26
MG,COVID,OUTRO,"< 9",F,1
MG,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INDETERMINADA,DOMICILIO,"< 9",F,1
MG,INDETERMINADA,DOMICILIO,"< 9",M,7
MG,INDETERMINADA,HOSPITAL,"< 9",F,18
MG,INDETERMINADA,HOSPITAL,"< 9",M,14
MG,INDETERMINADA,IGNORADO,"< 9",F,1
MG,INDETERMINADA,OUTRO,"< 9",F,1
MG,INDETERMINADA,OUTRO,"< 9",M,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,6
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,133
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,172
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,2
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,4
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,2
